incident_id,people_involved_type,damage_human,damage_lab,severity,chemicals,cause,narrative_description,lessons_learned,university,source_URL
1,individual,inhalation; dermal irritation,chemical release,minor,carbazole,chemical instability; legacy container; improper storage; missing label; lack of training,"While tagging legacy chemicals for disposal, a UT employee wiped an old 500 g plastic container of carbazole. The lid popped off, spilling the degraded chemical onto the employee’s face and arms. The employee reported inhalation exposure and irritation to the eyes and throat. The container was old, undated, improperly stored above recommended temperature, and showed signs of degradation. It had been left by a previous researcher and not checked for stability.",Train staff; Practice proper labeling; Store chemicals under safe conditions; Maintain updated inventory; Use appropriate PPE; Dispose of unknown or expired substances,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
2,individual,cut,explosion; equipment damage,moderate,unknown,equipment failure; human error,"While performing flash chromatography in a fume hood, a graduate student heard a pop and noticed part of the glass column was missing. A shard of glass struck the student’s arm, causing a deep cut requiring three stitches. The student was not wearing a lab coat. The column had been used multiple times and may have had microfractures or impurities that contributed to the explosion.",Use appropriate PPE; Train staff; Maintain equipment safety features; Follow standard operating procedures,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
3,individual,none,fire,moderate,lithium aluminum hydride,human error; improper storage; lack of training,"A researcher was weighing individual ~1 g portions of lithium aluminum hydride (LAH) on an open laboratory benchtop. While measuring the fifth portion, the container spontaneously ignited in the researcher’s hand. The researcher moved away from the bench where other chemicals were stored and dropped the burning container to the floor. Another researcher extinguished the fire with a fire extinguisher.",Train staff; Store chemicals under safe conditions; Maintain updated inventory; Use appropriate PPE; Dispose of unknown or expired substances; Follow standard operating procedures,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
4,group,none,pressure release ; chemical release,minor,liquid nitrogen,equipment failure; physical conditions; human error,"While transporting a nitrogen Dewar from the research building to the refill station and back, the Dewar tipped over after its wheels caught on an uneven sidewalk. The Dewar had custom-modified, unstable wheels that were worn and missing plastic coating, lacked a transport handle, and had not been inspected prior to use. The tip-over caused nitrogen to leak onto the ground. EHS responded, established a safety perimeter, and allowed most of the nitrogen to vent before righting the Dewar.",Maintain equipment safety features; Follow standard operating procedures,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
5,none,none,pressure release,minor,liquid argon,equipment failure,"A liquid argon tank in a laboratory experienced a burst disc rupture on its inner vessel, releasing the contents. The rupture was caused by an incorrectly rated burst disc (188 psig) installed instead of the required rating, which was lower than the pressure relief valve rating (230 psig). The force knocked over a nearby 1 L glass water bottle, which remained intact. No one was in the lab at the time, and no injuries or secondary chemical releases occurred.",Maintain equipment safety features; Follow standard operating procedures; Maintain updated inventory,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
6,individual,none,lab shutdown,major,picric acid,chemical instability; legacy container; unknown inventory; improper storage; missing label,"During a chemical review, a graduate student discovered an undated bottle of dried picric acid stored inside another glass container with desiccant in a flammable materials cabinet. Crystals were visible around the cap, posing an explosion risk if disturbed. The container’s origin and storage duration were unknown, and it had been allowed to dry due to storage with desiccant. EHS consulted a specialist for safe removal, and the lab was shut down for 2.5 days during the process. No injuries occurred.",Train staff; Maintain updated inventory; Store chemicals under safe conditions; Dispose of unknown or expired substances; Practice proper labeling,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
7,none,none,fire; water damage,major,mixed hazardous chemicals,equipment failure; chemical instability; improper storage,"At approximately 3:45 a.m., an explosion-proof laboratory refrigerator caught fire. The heat activated the sprinklers, which extinguished the fire but caused water damage to the building. The refrigerator contained about 100 chemical containers, including pyrophorics, water-reactives, flammables, and oxidizers. The exact cause was undetermined, but possible causes include refrigerator mechanical failure or an internal chemical reaction from incompatible storage.",Store chemicals under safe conditions; Practice proper labeling; Maintain updated inventory; Maintain equipment safety features; Follow standard operating procedures,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
8,individual,none,chemical release; lab shutdown,major,nitric acid; methanol; methyl nitrate,human error; improper waste management; chemical instability,"A researcher cleaning glass slides with nitric acid disposed of the acid and washings into a glass waste bottle containing nitric acid and water. The researcher mistakenly added methanol to the waste bottle, potentially forming methyl nitrate, an unstable and explosive compound. After observing bubbling, the researcher placed the bottle behind a blast shield and contacted EHS. EHS secured the area, closed the lab, and brought in a contractor to neutralize and safely remove the container.",Follow hazardous waste protocols; Handle chemicals carefully,The University of Texas at Austin,https://ehs.utexas.edu/planning-safe-research/lab-incidents-lessons-learned
9,individual,burn,none,minor,none,improper handling; human error,"An experienced student worker was removing a load of media from the autoclave when the dummy bottle, containing hot water, ruptured upon being placed on the concrete floor. The hot water splashed onto the student’s foot, causing minor first and second degree burns to the big toe. Contributing factors included use of an underfilled oversized bottle, possible pre-existing fractures in the glass, and impact with the hard surface. The student was wearing breathable sneakers instead of solid, water-resistant footwear, which allowed hot water to contact the skin.",Maintain equipment safety features; Use appropriate PPE; Follow standard operating procedures,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/june-2024.php
10,individual,inhalation,none,minor,hydrochloric acid,human error; equipment failure,"A student working in a chemical fume hood was transferring hydrochloric acid when the pipet tip fell off, causing contaminants to mix with the acid and release fumes. The fume hood, marked inoperable since November 2022, failed to remove the vapors. Contributing factors included ignoring posted signage, use of multiple inoperable fume hoods in the lab, and placement of materials too close to the hood face, which may have worsened the exposure.",Follow standard operating procedures; Maintain equipment safety features; Handle chemicals carefully; Use appropriate PPE; Train staff,Texas Tech University,https://www.depts.ttu.edu/ehs/about/safety@ttu/lessons-learned/sept-2023.php
